"* Required Fields","* campo obbligatorio"
"Your card is not enrolled for 3-D secure. The merchant accepts only cards which are enrolled.","La tua carta non é iscritta per il 3-D Secure. Il commerciante accetta solo carte iscritte al 3-D secure."
"Your card number seems to be invalid.","Il numero della carta non é valido."
"Your card seems to reported as stolen or lost.","La vostra carta é segnalata come rubata o persa."
"Your checkout session expired.","Your checkout session expired."
"Your fraud settings prevents the acceptance of this transaction.","L'impostazione frode impedisce l'accettazione di questa transazione."
"Your server IP address is '@IP'.","L'indirizzo IP del tuo server é '@IP'."
"RealexCw Aliases","RealexCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"Realex Aliases","Realex Aliases"
"Realex Error","Errore di Realex"
"Realex Parameters","Impostazioni per Realex"
"Realex Refund Items","Articoli rimborsati Realex"
"Realex Section","Sezione Realex"
"Realex Transactions","Realex transazioni"
"Realex provision in some cases a special merchant ID for MoTo (mail-/telefon-order) transaction. In case you want to use MoTo and you receive such a merchant ID, then fill it here. Otherwise leave this field empty.","In alcuni casi Realex rilascia un ID speciale commerciante per le transazioni MOTO. Nel caso in cui si desideri utilizzare MoTo e si riceve un tale ID commerciante, compilare qui. In caso contrario, lasciare questo campo vuoto."
"Realex:","Realex:"
"Realex: Alias Management","Realex: Alias Management"
"customweb ltd","customweb SRL"
"no","no"
"or","oppure"
"yes","yes"
