"* Required Fields","* Champs requis"
"You have to enter your bank account number.","Veuillez insérer l'IBAN de votre compte banquaire."
"You have to enter your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"You may choose one of the cards you paid before on this site.","Vous pouvez choisir parmi les cartes utilisées précédemment:"
"You may choose one of your stored payment details.","Sélectionnez l'une des informations de paiement enregistrées pour le paiement"
"You may need to contact Realex for further assistance.","Vous devez contacter Realex pour plus d'aide."
"You trying to use live cards on the test system. Please use only test cards.","Vous essayez d'utiliser des cartes réelles sur le système de test. Veuillez utiliser uniquement des cartes de test."
"You will be redirect to the order confirmation page.","Vous allez être redirigé vers la page de confirmation de commande."
"You will be redirect to your bank to confirm the payment.","Vous serez redirigé vers votre banque pour confirmer le paiement."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Votre navigateur ne permet pas l'exécution de JavaScript. Veuillez activer JavaScript dans votre navigateur et recharger cette page."
"Your card has been cancelled.","Votre carte a été annulée."
"Your card has been declined by a unkown reason.","Votre carte a été refusée par une raison inconnue."
"Your card is expired.","Votre carte est expirée."
"Your card is not enrolled for 3-D secure. The merchant accepts only cards which are enrolled.","Votre carte n'est pas inscrit pour 3D Secure. Le commerçant accepte uniquement les cartes qui sont inscrits pour 3D Secure."
"Your card number seems to be invalid.","Votre numéro de carte n'est pas valide."
"Your card seems to reported as stolen or lost.","Votre carte semble être signalée comme volée ou perdue."
"Your checkout session expired.","Your checkout session expired."
"Your fraud settings prevents the acceptance of this transaction.","Vos paramètres de fraude empêchent l'acceptation de cette transaction."
"Your server IP address is '@IP'.","L'adresse IP de votre serveur est  '@IP'."
"RealexCw Aliases","RealexCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"Realex","Realex"
"Realex Aliases","Alias Realex"
"Realex Error","Erreur de Realex"
"Realex Parameters","Realex Paramètres"
"Realex Refund Items","Realex _ remboursement articles"
"Realex Section","Section Realex"
"Realex Transactions","Transactions de Realex"
"Realex provision in some cases a special merchant ID for MoTo (mail-/telefon-order) transaction. In case you want to use MoTo and you receive such a merchant ID, then fill it here. Otherwise leave this field empty.","Dans certains cas Realex émet une Merchant ID spéciale pour les transactions MoTo (commandes par eMail/téléphone). Dans le cas où vous souhaitez utiliser MoTo et vous recevez une ID de marchand, veuillez la remplir ici. Sinon, laissez ce champ vide."
"Realex: Alias Management","Realex: Gestion des Alias"
"customweb ltd","customweb ltd"
"no","no"
"or","ou"
"yes","Oui"
