"* Required Fields","* Erforderliche Felder"
"We can not process the 3-D secure response, because we do not get the additional data transmitted with the redirection to the ACS service.","Wir können die 3D Secure Antwort nicht verarbeiten, da wir die durch die Weiterleitung zum ACS Service übermittelten Daten nicht erhalten haben."
"We cannot get the transaction instance.","Wir können keine Transaktions-Instanz laden."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Es gibt ein Problem mit Ihrem Zahlungsmodul. Für mehr Informationen, besuchen Sie für die Informationsseite des Plugins."
"When the store is not available (network outage, server failure or any other outage), when the feedback of Realex is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Wenn der Shop nicht erreichbar ist (Netzwerk- Serverausfall o.ä.) während das Feedback von  Realex gesendet wird, wird der Transaktionsstatus nicht aktualisiert. Daher wird keine Bestätigungsmail für die Bestellung verwand und die Bestellung hat noch nicht den Status 'bezahlt'. Indem Sie Transaktionsupdates aktivieren, können solche Transaktionen über einen direkten Link aktualisiert werden. Um diesen Service zu nutzen, muss der Update Service aktiviert sein und der API Nutzername sowie das Passwort müssen festgelegt sein."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Beim externen Checkout mit Adressübergabe hat der Kunde nach der Rückkehr aus dem Wallet die Möglichkeit sich einzuloggen (als gast, ein Konto erstellen oder mit den bestehenden Kundenkonto einloggen). Alternativ können Sie den Kunden zwingen immer als Gastkunde auszuchecken. In diesem Fall muss aber in Magento Gast Checkout als Option aktiviert sein."
"With this option set to yes, all valid transactions will be marked as certain. WARNING: Uncertain transactions by the definition of Realex (default value) are not covered by the credit card company, the merchant carries the risk. Nevertheless some merchants prefer to take some risk instead of checking uncertain transactions manually.","Wenn Sie hier Ja einstellen, werden alle gültigen Transaktionen als sicher markiert. WARNUNG: Per Definition von Realex unsichere Zahlungen (Standardwert) sind nicht durch den Kreditkartenanbieter versichert, der Händler trägt das Risiko. Dennoch ziehen es einige Händler vor, dieses Risiko einzugehen anstatt unsichere Transaktionen manuell zu überprüfen."
"With this setting set to active, an AVS-Check (Address Verification System) is carried out. According to your AVS-Settings.","Ist diese Einstellung auf aktiv gesetzt, wird ein AVS-Check (Address Verification System) anhand Ihrer AVS-Einstellungen durchgeführt."
"With this setting set to active, you customers credit card credential will be stored safely at Realex. A token refering to the stored information is stored together with the corresponding customer data. That way your customer only need to type the minimum amount of data. Realex takes charges for the RealVault-Service. Please make sure to activate RealVault at Realex first.","Ist diese Einstellung aktiv, werden die Kreditkartenangaben Ihres Kunden sicher bei Realex gespeichert. Ein Token mit Verweis auf die gespeicherte Information wird gemeinsam mit den dazugehörigen Kundendaten gespeichert. Auf diese Weise muss der Kunde nur wenige Daten erneut eingeben. Realex verrechnet den RealVault Service. Bitte aktivieren Sie RealVault zuerst bei Realex."
"Year","Jahr"
"Yes","Ja"
"Yes, please store my card data for next time.","Yes, please store my card data for next time."
"Yes, use images for the brand selection.","Logos für die Auswahl des Kartenanbieters benutzen."
"You are not allowed to do this transaction.","Sie sind nicht berechtig, diese Transaktion durchzuführen."
"You can allow the customers to manage/delete their aliases in the their account.","Sie können Ihren Kunden gestatten ihre Aliasse auf ihrem Konto zu verwalten/löschen."
"You can decide on the order status new orders should have after they are processed successfully.","Definieren Sie den Bestellstatus für Bestellungen, welche erfolgreich verarbeitet wurden."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definieren Sie den Bestellstatus für Bestellungen mit einer unisicheren Autorisierung."
"You can specify the order status for new orders that have an uncertain authorisation status.","Sie können den Status von Bestellungen mit unsicherem Autorisationsstatus definieren."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Sie können den Status von Bestellungen definieren, die entwerder direkt nach der Bestellung oder manuell im Backend verbucht werden."
"You can specify the order status when an order is cancelled.","Sie können den Status von abgebrochenen Bestellungen definieren."
"You can switch between test and live mode. In the test mode, test cards will be available and the transactions will go to the test-sub-acounts.","Sie können zwischen dem Livemodus und dem Testmodus wechseln. Im Testmodus werden Testkarten erhältlich sein und Transaktionen werden durch die Testunterkonten verarbeitet."
"You created the order.","Sie haben die Bestellung aufgegeben."
"You have no stored aliases.","Sie haben keine gespeicherten Aliasse."
"You have to enter a card number.","Sie müssen eine Kartennummer eingeben"
"You have to enter bank code of your bank.","Sie müssen den Bankcode Ihrer Bank eingeben"
"You have to enter commercial number of you company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"You have to enter either the CVC code or the issue number of your card.","Bitte geben Sie entweder den CVC oder die Ausgabenummer Ihrer Karte ein."
"You have to enter sales tax number of you company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"You have to enter sales tax number of your company.","Bitte geben Sie die Umsatzsteuer-Identifikationsnummer ein."
"You have to enter the BIC.","Sie müssen die BIC eingeben."
"You have to enter the CVC code from your card.","Sie müssen den CVC Ihrer Karte eingeben."
"You have to enter the IBAN.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"You have to enter the account holder name on the card.","Sie müssen den Kontoinhaber angeben."
"You have to enter the account holder name.","Bitte geben Sie den Kontoinhaber an."
"You have to enter the card holder name on the card.","Bitte geben Sie den Namen des Karteninhabers ein"
"You have to enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"You have to enter the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"You have to enter the name of your bank.","Sie müssen den Namen Ihrer Bank eingeben."
"You have to enter your IBAN Number.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"You have to enter your bank account number.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"You have to enter your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"You may choose one of the cards you paid before on this site.","Sie können aus einer der bereits gespeicherten Karten auswählen."
"You may choose one of your stored payment details.","Wählen Sie eine der gespeicherten Zahlungsinformationen zur Zahlung."
"You may need to contact Realex for further assistance.","Bitte kontaktieren Sie Realex für zusätzliche Hilfe."
"You trying to use live cards on the test system. Please use only test cards.","Sie versuchen Live Karten im Testsystem zu verwenden. Bitte benutzen Sie ausschliesslich Testkarten."
"You will be redirect to the order confirmation page.","Sie werden zur Bestätigungsseite weitergeleitet"
"You will be redirect to your bank to confirm the payment.","Sie werden zu Ihrer Bank weitergeleitet um die Zahlung zu bestätigen."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Ihr Browser hat keine JavaScript Unterstützung. Bitte aktivieren Sie JavaScript oder wechseln Sie den Browser."
"Your card has been cancelled.","Ihre Karte ist nicht mehr gültig."
"Your card has been declined by a unkown reason.","Die Karte ist aus unbekanntem Grund abgelehnt worden."
"Your card is expired.","Ihre Karte ist abgelaufen."
"Your card is not enrolled for 3-D secure. The merchant accepts only cards which are enrolled.","Ihre Karte ist nicht für 3D Secure angemeldet. Der Händler akzeptiert ausschliesslich Karten, die angemeldet sind."
"Your card number seems to be invalid.","Ihre Kartennummer ist ungültig"
"Your card seems to reported as stolen or lost.","Die Karte des Kunden ist als gestohlen oder verloren gemeldet."
"Your checkout session expired.","Ihre Sitzung ist abgelaufen."
"Your fraud settings prevents the acceptance of this transaction.","Ihre Sicherheitseinstellungen verhindern die Freigabe dieser Transaktion."
"Your server IP address is '@IP'.","Die IP Adresse Ihres Servers ist '@IP'."
"RealexCw Aliases","RealexCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"Realex","Realex"
"Realex Aliases","Realex Aliasse"
"Realex Error","Realex Fehler"
"Realex Parameters","Realex Parameter"
"Realex Refund Items","Realex Gutschriftsartikel"
"Realex Section","Realex Sektion"
"Realex Transactions","Realex Transaktion"
"Realex provision in some cases a special merchant ID for MoTo (mail-/telefon-order) transaction. In case you want to use MoTo and you receive such a merchant ID, then fill it here. Otherwise leave this field empty.","Realex vergibt ein einigen Fällen eine spezielle Merchant ID für MoTo-Transaktionen (eMail-/Telefonbestellungen). Falls Sie MoTo benutzen möchten und eine solche ID erhalten haben, tragen Sie sie hier ein. Andernfalls können Sie dieses Feld leer lassen."
"Realex: Alias Management","Realex: Alias Management"
"customweb ltd","customweb GmbH"
"no","Nein"
"or","oder"
"yes","Ja"
